#;Media;Total;Categoría;Nombre;Apodo;Año;Procedencia;Equipo;Liga;"Pierna
Dominante";Posición;Impacto Ofensivo;Impacto Defensivo;Ritmo;Ejecución Técnica;Comportamiento Táctico;Skill RBB;Altura;Complexión;Comentarios;Rendimiento;Proyección;Contexto;Ojeador;Media Javi G;Media Á. Oñate;Media J.L. Tijerín;Media J. Román;Peso Impacto Ofensivo;Peso Impacto Defensivo;Peso Ritmo;Peso Ejecución Técnica;Peso Comportamiento Táctico;Peso Skill;NOM PROPIO SIN TILDES;Peso Altura;Peso Complexión;Etapa;Año Ponderación;;CONTRATOS;
29;6,50;41;Juvenil;Seung-soo Park;Park Seung-soo;2007;Corea del Sur;Newcastle United FC U21;Liga de Reservas Inglaterra;Diestro;Extremo;7;5;7;8;7;7;4;2;Jugador de perfil ofensivo muy completo, con alto nivel técnico. Destaca por su excelente primer control y precisión en el pase, cualidades que combina con una notable visión de juego para interpretar ventajas y generar situaciones favorables en ataque. Posee recursos técnicos de alto nivel, incluyendo el uso del exterior para sorprender a defensas organizadas y acelerar la circulación en espacios reducidos. A nivel finalizador, cuenta con buen juego aéreo, siendo competitivo en duelos ofensivos y con capacidad para el remate dentro del área. A nivel condicional presenta zancada amplia, buena coordinación y capacidad para acelerar y desacelerar con solvencia, lo que le permite ganar ventaja tanto en conducción como en ruptura. Puede salir por ambos perfiles, ofreciendo versatilidad en el ataque y adaptabilidad a diferentes contextos tácticos. Aguanta bien la carga defensiva del rival, muestra una sólida cobertura técnica bajo presión y capacidad para asociarse por dentro, aportando continuidad y fluidez al juego ofensivo. Se trata de un jugador diferencial en fase ofensiva, con múltiples registros y una tipología de alto nivel.;A;A;Betis Deportivo;Javi Galán;6,67;6,32;6,51;;0,22;0,08;0,27;0,10;0,09;0,18;Seung-soo Park;0,04;0,03;Pre-élite;2007;;-;
30;5,25;36;Senior;Seydina Mohamed Diop;Seydina Diop;2005;Senegal;Ranheim IL;2ª División Noruega;Zurdo;Extremo;7;4;7;6;6;6;5;2;Jugador de perfil ofensivo de talla alta, con zancada amplia y potente. Por su envergadura puede convertirse en un recurso en el juego aéreo, especialmente llegando desde banda al área en situaciones de centro y segundo palo. Destaca por su velocidad y potencia en carrera, con una arrancada muy explosiva y capacidad para ejecutar el primer impulso con ambas piernas. Presenta buena llegada en diagonal y muestra instinto de cara a gol, siendo capaz de finalizar con ambas piernas. A nivel físico se encuentra correctamente desarrollado, sin carencias musculares, y pese a su altura es un jugador coordinado y ágil. En fase ofensiva es claramente más diferencial en espacios amplios, donde puede explotar su velocidad, zancada y capacidad de ruptura. Necesita campo para sacar ventaja, ya que no es especialmente determinante en espacios reducidos ni en acciones de uno contra uno corto. Presenta dificultades para desacelerar o cambiar de dirección a alta velocidad, lo que condiciona su rendimiento en contextos de ataque posicional. A nivel técnico, su arrancada y conducción son muy potentes, aunque debe mejorar la precisión en el gesto técnico final, especialmente en pases en profundidad y envíos laterales, donde pierde eficacia en situaciones favorables.;C;B;Betis Deportivo;Javi Galán;6,17;5,37;4,20;;0,22;0,08;0,27;0,10;0,08;0,18;Seydina Mohamed Diop;0,04;0,03;Rendimiento;2006;;31/12/2028;
31;5,43;34;Senior;Stredair Owusu Appuah;Stredair Appuah;2004;Francia;Valenciennes FC;3ª División Francia;Zurdo;Extremo;6;5;8;5;4;6;4;2;Extremo zurdo con destacado nivel condicional, caracterizado por su zancada y capacidad de aceleración. A nivel físico presenta ventajas claras para atacar espacios, aunque su impacto en el juego no es constante ni resolutivo. Muestra tendencia a salir por dentro desde banda, buscando acciones de desequilibrio individual. Sin embargo, es un jugador intermitente, con dificultades para conectar de manera regular en fase de creación y para sostener continuidad en sus intervenciones. Su perfil resulta más efectivo en contextos de juego abierto y con espacios amplios, donde puede explotar su potencia y velocidad. En fase ofensiva presenta pérdidas de balón evitables, derivadas en parte de una toma de decisiones mejorable y cierta falta de madurez en la gestión de las acciones. Tiende a ser individualista en determinadas situaciones, priorizando la acción personal frente a soluciones colectivas. Le cuesta girarse cuando recibe de espaldas y no interpreta correctamente los perfiles corporales, lo que limita su capacidad para ganar ventaja en espacios reducidos. A nivel técnico-táctico se muestra errático en la lectura del juego y en la elección de acciones, aspectos que condicionan su rendimiento global.;C;C;Betis Deportivo;Javi Galán;6,00;5,59;4,69;;0,22;0,08;0,27;0,10;0,08;0,18;Stredair Owusu Appuah;0,04;0,03;Rendimiento;2006;;30/06/2026;
32;6,36;40;Juvenil;Thaiel Ezequiel Peralta Ortiz;Thaiel Peralta;2008;Argentina;CA Huracán;1ª División Argentina;Zurdo;Mediapunta;7;4;7;7;7;8;2;2;Jugador de perfil ofensivo para actuar en el último tercio del campo, con capacidad para rendir tanto partiendo desde banda como ocupando zonas interiores cercanas al punta. Destaca por su gran explosividad y potencia en conducción, combinadas con una notable capacidad para asociarse y filtrar el último pase. Presenta una excelente visión de juego y un alto grado de determinación en sus acciones ofensivas. Es hábil en el regate y puede salir por ambos perfiles, lo que le aporta versatilidad y dificulta la defensa del rival. En espacios amplios muestra una alta frecuencia de zancada y una conducción agresiva, siendo muy peligroso en situaciones de ventaja. A pesar de su talla media-baja, posee un centro de gravedad bajo que le permite mantener estabilidad ante cargas rivales. Con un plan específico de mejora de la fuerza podría potenciar aún más su rendimiento físico y su capacidad para sostener acciones de alto impacto. Cuenta con buen golpeo en acciones a balón parado y es un jugador muy dinámico tanto para atacar defensas organizadas como para ser determinante en contextos de transición ofensiva.;B;B;Betis Deportivo;Javi Galán;6,49;6,24;6,35;;0,12;0,09;0,13;0,24;0,11;0,23;Thaiel Ezequiel Peralta Ortiz;0,05;0,05;Pre-élite;2008;;31/12/2028;
33;6,97;41;Juvenil;Reuben Ayodele-Olu Thomas;Ayodele Thomas;2007;Países Bajos;RB Leipzig;1ª División Alemania;Diestro;Extremo;7;5;8;7;6;8;3;2;Extremo diestro a pierna cambiada, con buena tipología física. Jugador alto, de zancada amplia y con capacidad para acelerar tanto desde parado como en carrera, pese a que aparentemente no ejecute de forma constante acciones a máxima intensidad, sabiendo gestionar bien los ritmos del juego para aparecer en el momento oportuno. Presenta un buen primer control y una conducción precisa, destacando especialmente en el dribbling en carrera. Muestra una correcta cobertura técnica orientada a portería, lo que le facilita encarar y progresar con intención ofensiva. Tiene capacidad tanto para asociarse en corto como para asistir mediante pases en profundidad. Ataca el área con frecuencia, aportando presencia en zonas de remate, aunque debe mejorar su eficacia en la finalización de las acciones de cara a gol. Por sus condiciones físicas y técnicas, es un jugador determinante tanto ante defensas organizadas —gracias a su capacidad para encarar y superar en duelos— como en contextos de espacios amplios, donde destaca por su velocidad y capacidad para sprintar.;A;B;Betis Deportivo;Javi Galán;6,88;6,43;7,61;;0,22;0,08;0,27;0,10;0,09;0,18;Ayodele Thomas;0,04;0,03;Pre-élite;2007;;30/06/2031;
34;5,84;38;Juvenil;Trevan Farooq Sanusi;Sanusi;2007;Inglaterra;FC Lorient;1ª División Francia;Diestro;Extremo;7;6;8;6;5;6;3;2;Extremo orientado principalmente al desborde exterior y a un ritmo de juego alto, aportando profundidad constante por banda sin desentenderse del trabajo sin balón. Se trata de un jugador intenso, potente y vertical, con buena predisposición para sostener esfuerzos continuos durante el partido. A nivel técnico presenta un perfil funcional: correcto en conducción y primer control. Aunque dispone de algunos recursos técnicos, no es un jugador especialmente habilidoso en el uno contra uno corto, basando su ventaja más en el ritmo y la potencia que en el desequilibrio técnico. Puede actuar en ambos perfiles de banda, mostrando un rendimiento superior en contextos de espacios amplios, donde puede explotar mejor su velocidad y capacidad de progresión. Destaca por una velocidad gestual muy rápida, que le permite ejecutar acciones ofensivas con fluidez y continuidad. No es un jugador determinante en zonas cercanas al área ni en acciones de finalización, aportando más como jugador de banda que equilibra el juego colectivo y da amplitud que como finalizador.;B;B;Betis Deportivo;Javi Galán;6,42;5,91;5,20;;0,22;0,08;0,27;0,10;0,09;0,18;Trevan Farooq Sanusi;0,04;0,03;Pre-élite;2007;;30/06/2026;
35;5,87;39;Juvenil;Yerwin Antonio Sulbarán López;Yerwin Sulbarán;2008;Venezuela;Monagas SC;1ª División Venezuela;Zurdo;Extremo;6;5;6;8;6;8;3;2;Jugador de talla media-baja, de perfil ofensivo, muy dinámico y con talento. Destaca por su precisión en el control, la conducción y el pase, mostrando un buen dominio técnico en situaciones de juego continuo. Posee visión de juego y capacidad para interpretar ventajas, lo que le permite asociarse con criterio y buscar el último pase en zonas de creación avanzada. Aunque cuenta con velocidad y explosividad, su perfil se orienta más al desborde hacia dentro y a la combinación que a la superación por potencia pura. Es un jugador habilidoso, con recursos técnicos en espacios reducidos, capaz de resolver situaciones de alta densidad defensiva con creatividad y calidad. De cara a su proyección, tengo dudas sobre su evolución a nivel físico, ya que se encuentra aún en una fase de formación muscular sin desarrollar por completo. Su progresión estará condicionada en parte por cómo asimile ese crecimiento físico y su adaptación a mayores exigencias competitivas.;C;B;Betis Deportivo;Javi Galán;6,24;5,51;5,87;;0,21;0,09;0,26;0,11;0,09;0,17;Yerwin Antonio Sulbaran Lopez;0,04;0,03;Pre-élite;2008;;31/12/2027;
36;6,15;38;Juvenil;Saba Kharebashvili;Kharebashvili;2008;Georgia;Dinamo Tbilisi;1ª División Georgia;Zurdo;Lateral;7;7;7;6;6;5;4;3;Jugador de perfil defensivo, zurdo, con buen nivel condicional y formación muscular consolidada, lo que le permite sostener esfuerzos a lo largo del partido. Desde el punto de vista técnico presenta un perfil funcional, aunque con más limitaciones en el uso de la pierna inhábil, mostrándose impreciso en controles y envíos con la misma. En el apartado defensivo se muestra impetuoso en los duelos, circunstancia que en ocasiones le conduce a errores en la toma de decisiones. Tiene capacidad para defender hacia adelante y para corregir con espacios a la espalda. Pese a su talla, no resulta un perfil dominante en el juego aéreo, y puede mostrarse inestable en duelos y situaciones de 1vs1 ante cargas rivales. En fase ofensiva es un jugador con proyección, capaz de incorporarse y romper a diferentes alturas, aportando profundidad desde segunda línea. Presenta mayores dificultades para asociarse por carriles interiores o para desbordar por habilidad. Por su perfil condicional, se le intuye como un jugador complementario válido para la plantilla del Betis Deportivo, con proyección hacia el fútbol profesional a medio plazo. Cuenta con un amplio margen de mejora, especialmente en los ámbitos técnico-táctico y cognitivo, donde la optimización de la toma de decisiones será clave para su evolución.;B;B;Betis Deportivo;Javi Galán;6,31;6,00;;;0,10;0,26;0,26;0,10;0,09;0,10;Saba Kharebashvili;0,05;0,04;Pre-élite;2008;;31/12/2028;
37;6,20;37;Senior;Abdullah bin Hadi bin Jaber Radif;Abdullah Radif;2003;Arabia Saudí;Al-Fayha FC;1ª División Arabia Saudí;Diestro;Delantero;8;5;7;5;6;6;5;2;"Atacante polivalente, capaz de ocupar varios perfiles del frente ofensivo, aunque se entiende mejor como delantero móvil/segundo punta que como referencia fija. Su rendimiento se apoya en actividad constante, determinación y tendencia a finalizar, más que en la pausa o el dominio posicional del ataque.
En fase ofensiva es un jugador incisivo y vertical: busca intervenir, atacar espacios y llegar a zonas de remate con decisión. Transmite personalidad ofensiva y no suele esconderse en el último tercio, aunque a veces esa misma energía pienso que le lleva a acelerar jugadas cuando el contexto pide un punto más de calma.
Su arranque en pocos metros es un rasgo clave, pero no tanto por frecuencia de pasos, sino por amplitud de zancada y capacidad para ganar terreno rápido desde el primer impulso. Es una aceleración “de recorrido corto” pero de zancada larga: si ve pasillo, activa y progresa con potencia hacia delante, especialmente en rupturas o ataques al intervalo.
Con balón, su amenaza está más en la conducción directa por impulso que en la precisión técnica. En espacios reducidos o bajo presión, su conducción tiende a ser poco fina, con dificultad para mantener precisión en el toque y en la elección del gesto, lo que encaja con un perfil de ataque más recto y agresivo que combinativo.
A nivel técnico tiene una base funcional, suficiente para competir: puede finalizar con naturalidad con ambos perfiles cuando la acción lo exige, aunque no es un jugador de regate elaborado ni de asociación sostenida. Su participación en el juego colectivo es intermitente: puede enlazar y ofrecer apoyos, pero no es un “sostén” de posesión; su impacto crece cuando el partido se vuelve dinámico y de transiciones.
En lo físico es ligero y reactivo, con despliegue competitivo, pero sin una gran capacidad de imponerse por choque continuado ni por dominio aéreo. Su aportación sin balón se basa más en movilidad y ocupación que en fijar o ganar duelos prolongados.
En mi opinión, es un perfil que ya compite en entornos exigentes, pero cuyo impacto depende mucho del rol y del tipo de partido. En el contexto del Betis Deportivo, pienso que puede sumar verticalidad, rupturas y energía ofensiva, especialmente como pieza que acelera el ataque cuando hay espacios. Creo que es más un acelerador/atacante de rupturas que un finalizador puro o un delantero asociativo, por lo que aportaría variabilidad sobre el tipo de perfil de jugador que actualmente tenemos en la plantilla.
";B;B;Betis Deportivo;Javi Galán;6,29;6,11;;;0,28;0,04;0,14;0,10;0,10;0,22;Abdullah bin Hadi bin Jaber Radif;0,07;0,05;Rendimiento;2006;;30/06/2026;
38;5,28;34;Senior;Allen Aldair Obando Ayoví;Obando;2006;Ecuador;Barcelona SC Guayaquil;1ª División Ecuador;Diestro;Delantero;7;3;7;6;5;6;5;2;"Jugador de perfil ofensivo, delantero centro, con presencia y buena tipología, alto, aparentemente con una activación algo lenta a la hora de atacar espacios, aunque tiene una frecuencia de zancada rápida acompañado de una buena amplitud de zancada y es ágil, su perfil condicional es élite.
Preciso en juego aéreo, con buen timing, por su físico es un jugador objetivo dentro del área.
A nivel técnico es correcto, sin alardes, margen de mejora en el primer control y en acciones con su pierna inhábil, con la que no elude finalizar si tiene opción. No es un delantero de perfil asociativo.
En ataques posicionales es un delantero para ocupar el área por su físico y presencia, pero también es un jugador destacado en transiciones por su nivel condicional.
Aparentemente intermitente o frio en varias de sus acciones observadas creo que su impacto no sería inmediato pero si pienso que tiene un perfil con un gran margen de mejora por explotar.
";C;B;Betis Deportivo;Javi Galán;5,93;5,81;4,09;;0,28;0,04;0,14;0,10;0,10;0,22;Allen Aldair Obando Ayovi;0,07;0,05;Rendimiento;2006;;13/07/2026;
39;6,36;40;Senior;Amin Chiakha;Chiakha;2006;Dinamarca;Rosenborg BK;1ª División Noruega;Diestro;Delantero;7;5;6;8;6;8;5;3;"Delantero referencia técnico, asociativo, con capacidad para fijar, descargar y liderar el ataque desde el talento más que desde la explosividad. De talla alta y con masa muscular funcional. No es un delantero de repetición de esfuerzos ni de perfil explosivo, sino un jugador de ritmo medio, con velocidad controlada. Su zancada amplia y longitud de piernas generan una sensación de mayor velocidad de la que realmente posee.
A nivel técnico es un jugador muy dotado, preciso en controles, envíos, giros y conducción. Utiliza ambas piernas con naturalidad y realiza una cobertura técnica muy eficiente, apoyándose en su físico para proteger el balón. Esto le permite rendir con solvencia de espaldas, tanto en desmarques de apoyo como en acciones asociativas, aportando continuidad al juego.
Pese a su talla, no destaca en el juego aéreo, siendo una faceta en la que tiene margen de mejora, especialmente en impacto y efectividad dentro del área.
No es un delantero de perfil rematador puro, sino un jugador de gran base técnica, con capacidad para fijar defensores, aguantar el balón y descargar con criterio, facilitando la continuidad del juego. Destaca por su lectura para encontrar al hombre libre, ya sea tras apoyos de espaldas, descargas tras control orientado o acciones de juego asociativo, en un rol similar al de un delantero referencia técnico.
Se trata de un jugador más cercano a una realidad que a un proyecto, con margen de mejora principalmente en la finalización de cara a gol. Por perfil y rendimiento actual, es un jugador que tendría impacto inmediato en el Betis Deportivo, con proyección a corto-medio plazo hacia el primer equipo.
";A;A;Betis Deportivo;Javi Galán;6,66;6,22;6,19;;0,28;0,04;0,14;0,10;0,10;0,22;Amin Chiakha;0,07;0,05;Rendimiento;2006;;31/12/2026;
